x_m,y_m,psi_rad,v_mps,v_mps,s_m,ey_m,epsi_rad,a_mps2,delta_rad,t_s
0.45580826263346097,0.24947049790192644,0.02029662527473744,9.999999749051788,9.999999749051788,36.42343670587795,0.14645448252438417,0.1436066908363887,0.9024201168295323,-0.030280915992468942,4.350392533339901
0.7093115081091483,0.256929983414782,0.04108029733128858,10.000000048652089,10.000000048652089,36.682041728880954,0.18031117811742275,0.11995585049823913,0.9999976542173786,-0.041912840703924995,4.376159229963213
0.9584908749391411,0.26998093319448824,0.06313773840586637,9.99410571257266,9.99410571257266,36.94066417675906,0.20667050655263625,0.08762091136842709,0.9999971632075074,-0.04942470503822577,4.401610682574943
1.2049118871423514,0.28837115294537874,0.08243161117277464,9.983619818897713,9.983619818897713,37.19929272598521,0.2239733892205724,0.04985815692635565,0.9999964549483121,-0.04994929342112245,4.426831770468821
1.450252221653888,0.3110438342602553,0.09969247845542917,9.97306450344628,9.97306450344628,37.458005526660926,0.23171371483658193,0.011840502647105561,0.999995312069427,-0.018902850549207675,4.451982481217659
1.695103227828324,0.3405019350795886,0.1382703496977448,9.966966042007742,9.966966042007742,37.71679871873924,0.23287912150413964,-0.0025822087890787493,0.9999930565130674,-0.003099837510548223,4.477233917913869
1.939503111156273,0.3806766765568703,0.1845514779246275,9.96913644042411,9.96913644042411,37.97566789920282,0.2319215537571998,-0.004965645040465407,0.9999863015437093,-0.02411133293658292,4.502688553190068
2.192538618775096,0.4314841056851577,0.16958773691417497,9.981958062013865,9.981958062013865,38.23459620789441,0.2282489912927156,-0.02369508005407934,0.7732345434083668,-0.00062623135406763,4.528380465750073
2.4586774287052044,0.4719817891161213,0.12157523274114151,9.999999750595121,9.999999750595121,38.49328117319041,0.22205166447691,-0.024186360639794922,-0.2793833401397878,0.008632780571529162,4.554292447088267
2.7256388207661524,0.4980610335056497,0.08537013908095603,9.999999752376999,9.999999752376999,38.751758923666166,0.21663209809207815,-0.01736090365418038,-0.5044351494216843,0.016600024722064528,4.580383054729698
2.988960287604873,0.5185045619186717,0.07351436118935097,9.999999753335267,9.999999753335267,39.01043519551559,0.21380990383503584,-0.004175772855411026,-0.5612979114756446,0.018289704742735398,4.60659201328867
3.2526162942054855,0.5370646062618505,0.06217599731511127,9.999999753100568,9.999999753100568,39.269153579754125,0.21462220870726895,0.010367707969496067,-0.4402630532139327,0.014301980973155295,4.632829799505184
3.517970724220981,0.5509144401149655,0.041658448881083984,9.999999751646737,9.999999751646737,39.527890912505285,0.2188208915688153,0.021713313928807473,-0.1525432910856866,0.005378984996777915,4.659006556313334
3.7798873901147836,0.5580700603746749,0.0314527005771706,9.999999748877398,9.999999748877398,39.7866393770923,0.22502223269539137,0.02595481461369438,0.2799532759779766,-0.010677098632956792,4.68502785517233
4.034824029390855,0.5655619443059319,0.03968261520906541,9.999999744736076,9.999999744736076,40.04543215158854,0.23063540231690471,0.017617671558307263,0.835339142709892,-0.022821843920911168,4.710794712098102
4.289873609249932,0.5771733870015501,0.04082956170143726,10.000000098525712,10.000000098525712,40.30461895954213,0.23287898560548898,3.159299712118872e-05,0.9999999509474785,-8.015609732247451e-05,4.736219469250967
4.5418573702221865,0.5884267434027484,0.07270794263020813,9.987538881519443,9.987538881519443,40.56426943737168,0.23287928709888378,-2.9183104874906013e-05,0.9999999498744784,7.891029448205903e-05,4.761256398388702
4.784093345879905,0.612801708773075,0.13840162141407272,9.956582838207604,9.956582838207604,40.82337588432671,0.23287933148399392,2.9544551671553102e-05,0.9999999487238302,-8.07765295726382e-05,4.785884937522007
5.018477770782537,0.6543876443078189,0.22686132810390375,9.905559071340424,9.905559071340424,41.081887944357526,0.23287936190213124,-2.9291452504947e-05,0.9999999474750211,8.26074035873672e-05,4.8100883856754235
5.240934623455298,0.7176566549256356,0.34086660151737125,9.832993281359892,9.832993281359892,41.33978061928356,0.23287937452519397,2.9399131589739526e-05,0.9999999460723522,-8.510282679108738e-05,4.833844789188238
