x_m,y_m,w_tr_right_m,w_tr_left_m
6.825710,-15.014506,1.4581,1.4581
6.873390,-14.992284,1.4780,1.4780
6.920492,-14.968197,1.4581,1.4581
6.966955,-14.943119,1.4780,1.4780
7.011850,-14.917056,1.4581,1.4581
7.056105,-14.890020,1.4883,1.4883
7.099663,-14.862022,1.4780,1.4780
7.142473,-14.833079,1.4780,1.4780
7.184486,-14.803207,1.4581,1.4581
7.225655,-14.771446,1.4883,1.4883
7.265936,-14.738684,1.4786,1.4786
7.304417,-14.704947,1.4689,1.4689
7.342043,-14.670262,1.4291,1.4291
7.378776,-14.634657,1.4592,1.4592
7.415450,-14.598166,1.4495,1.4495
7.451051,-14.560824,1.4398,1.4398
7.485552,-14.522668,1.4398,1.4398
7.518929,-14.483741,1.4398,1.4398
7.551162,-14.444085,1.4495,1.4495
7.582231,-14.402762,1.4194,1.4194
7.612991,-14.360691,1.4291,1.4291
7.642449,-14.317919,1.3989,1.3989
7.670596,-14.274499,1.4388,1.4388
7.697429,-14.230486,1.4484,1.4484
7.722946,-14.184954,1.4183,1.4183
7.748018,-14.138831,1.4280,1.4280
7.771669,-14.092177,1.4086,1.4086
7.793908,-14.045055,1.4183,1.4183
7.814749,-13.996549,1.3881,1.3881
7.834205,-13.947593,1.3681,1.3681
7.853166,-13.898259,1.3881,1.3881
7.870672,-13.848616,1.3681,1.3681
7.887619,-13.798741,1.3583,1.3583
7.903056,-13.748711,1.3984,1.3984
7.917887,-13.698606,1.3886,1.3886
7.931169,-13.647525,1.3788,1.3788
7.943817,-13.596422,1.4189,1.4189
7.955764,-13.545383,1.4091,1.4091
7.966953,-13.493513,1.3992,1.3992
7.977329,-13.441769,1.3894,1.3894
7.986843,-13.389375,1.3795,1.3795
7.995455,-13.337406,1.4197,1.4197
8.003127,-13.284972,1.4098,1.4098
8.009828,-13.232169,1.4000,1.4000
8.015532,-13.179090,1.4000,1.4000
8.020220,-13.125715,1.4000,1.4000
8.023878,-13.072141,1.4000,1.4000
8.026497,-13.019445,1.4098,1.4098
8.028075,-12.965870,1.4197,1.4197
8.028614,-12.913366,1.4295,1.4295
8.028122,-12.861046,1.4394,1.4394
8.026615,-12.808022,1.4492,1.4492
8.024111,-12.755374,1.4591,1.4591
8.020636,-12.703196,1.4689,1.4689
8.016221,-12.650598,1.4788,1.4788
8.010903,-12.598657,1.4886,1.4886
8.004724,-12.547464,1.4984,1.4984
7.996748,-12.496127,1.5083,1.5083
7.987895,-12.444735,1.4681,1.4681
7.978223,-12.393373,1.4780,1.4780
7.966808,-12.342996,1.4980,1.4980
7.954586,-12.292702,1.5280,1.5280
7.941628,-12.242571,1.4980,1.4980
7.927025,-12.193551,1.5280,1.5280
7.910741,-12.144736,1.5378,1.5378
7.892745,-12.096201,1.5281,1.5281
7.873991,-12.048887,1.5583,1.5583
7.853586,-12.001881,1.5884,1.5884
7.831507,-11.955254,1.5788,1.5788
7.807737,-11.909072,1.6089,1.6089
7.783244,-11.863398,1.5992,1.5992
7.757149,-11.818292,1.6294,1.6294
7.729444,-11.774683,1.5895,1.5895
7.700126,-11.731645,1.6197,1.6197
7.670177,-11.689231,1.6100,1.6100
7.638731,-11.647496,1.6100,1.6100
7.605796,-11.606487,1.6498,1.6498
7.571382,-11.566252,1.6498,1.6498
7.535500,-11.527704,1.6100,1.6100
7.499151,-11.489903,1.6498,1.6498
7.461487,-11.452890,1.6595,1.6595
7.422531,-11.416702,1.6692,1.6692
7.382310,-11.382246,1.6391,1.6391
7.340854,-11.348572,1.6488,1.6488
7.298194,-11.315712,1.6886,1.6886
7.255352,-11.283696,1.6584,1.6584
7.211498,-11.253422,1.6681,1.6681
7.166675,-11.223931,1.6380,1.6380
7.120930,-11.195248,1.6477,1.6477
7.074313,-11.167393,1.6197,1.6197
7.026876,-11.141255,1.6295,1.6295
6.978673,-11.115868,1.5894,1.5894
