s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,a_mps2,t_s,w_tr_right_m,w_tr_left_m,d_opt_m
29.4533719993872,-3.804536986609148,0.2604655309689079,0.21135906565958937,-0.09321965956092475,4.413220886250672,2.5000000000000213,8.295025474648709,0.6797519948348958,0.6797519948348958,0.17600330755334553
29.70801763418873,-3.5556440624311896,0.31428663851621663,0.21221100273022617,-0.04902635413518585,4.55518899331815,2.5000000000000284,8.351812717475699,0.6500171754323885,0.6500171754323885,0.2018783425043038
29.963512164812556,-3.30558443970337,0.366704576857103,0.19858608682610143,-0.007196398220886918,4.693316462584421,2.500000000000014,8.407063705182207,0.6446838814715755,0.6446838814715755,0.22192524234101435
30.221546647989257,-3.051939467259576,0.4140967962844872,0.16758148032260517,0.030237418199715208,4.828808531496092,2.500000000000007,8.461260532746875,0.6211978847144299,0.6211978847144299,0.23494773054708581
30.482339778447813,-2.7938948634465905,0.4518597323113873,0.12137984254646146,0.061579599758279216,4.961991282352502,2.499999999999993,8.514533633089439,0.6155708042673885,0.6155708042673885,0.24008353546337266
30.744992206463767,-2.5324166366236067,0.4766676915217735,0.06678925462349983,0.0828648563174145,5.092604405038938,2.4999999999999574,8.566778882164014,0.6623620096826229,0.6623620096826229,0.23684792631681192
31.00775434529609,-2.2698491829919267,0.4867807472969672,0.010742845013219074,0.0912566980011299,5.220002904250495,2.4999999999999716,8.617738281848638,0.6975289040750434,0.6975289040750434,0.22492468333611057
31.270279014248896,-2.0073545807364805,0.48280763824531153,-0.03969406372565662,0.08537107858323824,5.34425426651349,2.5000000000000284,8.667438826753836,0.7269203144919879,0.7269203144919879,0.20460152234582246
31.5324755769413,-1.7456706871091907,0.46641930996647996,-0.08503223797503828,0.06546006847545782,5.465531673918803,2.5,8.71594978971596,0.7779302169002714,0.7779302169002714,0.17682122705682568
31.7959300902199,-1.4837106947687584,0.4383971226881116,-0.1274030865893595,0.040455527743049925,5.5847389415265125,2.5,8.763632696759045,0.8007754169936898,0.8007754169936898,0.14306188417741858
32.05887764266943,-1.2235848420892683,0.3999789485127946,-0.16498187298571143,0.017313663599104676,5.701232042922855,2.5,8.810229937317581,0.829409776249275,0.829409776249275,0.10506569892659728
32.32209157495051,-0.9647947543044927,0.3519241401038783,-0.20334205981776204,-0.0034176638787115025,5.815506553057586,2.500000000000014,8.855939741371474,0.8500269546918594,0.8500269546918594,0.06464129277005187
32.58434906172301,-0.7090612512808666,0.2937918358360156,-0.2430779930138955,-0.02056746165531622,5.9271750355897375,2.078706534421883,8.900607134384334,0.8463434695115238,0.8463434695115238,0.023520947527734745
32.84494492238037,-0.45718646745469554,0.22693904334184453,-0.2733326571712887,-0.03537552936907286,6.0,0.8287032683361133,8.944304968931034,0.8447738943565801,0.8447738943565801,-0.016754111584546896
33.104268273925214,-0.20805925191347702,0.15493743826856055,-0.2860087564737388,-0.04866194715526895,6.0,-0.09123854033271073,8.987525527521841,0.8154465765195845,0.8154465765195845,-0.05480857772400412
33.36363557530555,0.04100613466725818,0.08256458263396627,-0.27504989685088416,-0.062238749612459496,5.992103439748091,-2.086492572185591,9.030781875781923,0.7997914396541527,0.7997914396541527,-0.08941585781475732
33.624210640641316,0.292881005692054,0.015793226342669775,-0.23962739418710177,-0.07768417682874836,5.814239783427867,-4.0306600797809295,9.074923412311922,0.800000164469879,0.800000164469879,-0.11941282527375188
33.88670056232201,0.549428481072992,-0.03974371505316247,-0.1835783397205698,-0.0936547850151742,5.629269788662278,-4.036744702758888,9.120799184954414,0.8000000423142164,0.8000000423142164,-0.1435387086667229
34.1512888005282,0.811129054115076,-0.07872763310277306,-0.1095059335441149,-0.10328164795365598,5.435981711701686,-4.0248702826986005,9.168622451908172,0.7998916176849572,0.7998916176849572,-0.1605959251474874
34.41863644847703,1.0778997838410753,-0.0962816248206016,-0.019548701837044234,-0.09824402648166487,5.235193930371481,-3.9900312670017826,9.21872895505573,0.7952969371356554,0.7952969371356554,-0.16975525652727608
34.68646665864663,1.3456318822669606,-0.08903283513094579,0.07169630803371249,-0.07428913354182848,5.027876727647749,-3.9667437892917263,9.270921952472214,0.7545649707635795,0.7545649707635795,-0.17081510579460038
34.9524305461687,1.609916621780238,-0.05919383504294934,0.1515301321678863,-0.032729317670635055,4.813781086862887,-3.957248081178406,9.324970547238419,0.740311685978396,0.740311685978396,-0.1643481733088559
35.215812550691574,1.868800690673189,-0.010726122285723477,0.21504833915513372,0.02177526498766981,4.592395100662691,-3.960789886395162,9.38097247602903,0.6631799587242547,0.6631799587242547,-0.15049328424174974
35.47611199964759,2.1218372627723405,0.05033365422154226,0.25414197826831175,0.08327321416413529,4.361651016724696,-3.975525778889377,9.439113666177818,0.6101869398833492,0.6101869398833492,-0.13009507821345745
35.73437364575948,2.3711891796953273,0.11758467190348308,0.26913304157389806,0.14725586736692353,4.119083229080382,-3.9889911042527366,9.500019158232268,0.6004934833443697,0.6004934833443697,-0.10447302931039384
35.99151776371002,2.619270653189828,0.18525061537106552,0.2584798534387592,0.2094475786179847,3.861596503213777,-4.007816914308638,9.564460816480999,0.5733803127034499,0.5733803127034499,-0.07519714192944173
36.24838265051732,2.8685927828095314,0.2470409524507606,0.22458456606065924,0.26883522066651955,3.584174094583443,-4.018546242638866,9.63345700255294,0.640105619152331,0.640105619152331,-0.04383613201256825
36.50658560218605,3.121445371883554,0.29933179724226167,0.18389224914281496,0.3249046163525607,3.282132285372709,-3.4610683456114124,9.708665691877512,0.6975292143557583,0.6975292143557583,-0.011917057492334602
36.765824552385695,3.3771244036283776,0.34214611758771657,0.14945619735002302,0.3766978027709899,3.0481580276303673,-2.3915146315930116,9.79056997663587,0.7120090144129069,0.7120090144129069,0.019095728341473855
37.02518952520031,3.6340924151914193,0.37732608570113757,0.12420852931123738,0.421260434057919,2.882429452423215,-1.6282776619043844,9.878036850259079,0.79492080332794,0.79492080332794,0.047868567458622314
37.28397115503944,3.891160402726107,0.40705791590143536,0.10729934855668549,0.45990093045976166,2.7586835046881517,-1.1589300664666116,9.969785280686411,0.7963507904780195,0.7963507904780195,0.07339440140002984
37.541260407982044,4.147081734398023,0.43355379624226986,0.1014850483375427,0.4919227405331232,2.667384188153591,-0.8479539082127623,10.06461979713818,0.8440059725456379,0.8440059725456379,0.09492687379671265
37.79628153099276,4.4006944847747365,0.46031843761864066,0.11169170143682912,0.5191142657575838,2.5965849779597003,-0.6206284542679068,10.161512888629828,0.8436165676018116,0.8436165676018116,0.11203497323416807
38.04864927109663,4.651135702262076,0.4914419468776331,0.1382020035178412,0.5396847766522165,2.5466187850536266,-0.4138152514398392,10.259649284437725,0.8056473024876619,0.8056473024876619,0.12448136439501481
38.297818644265604,4.897144303349716,0.5310038567951583,0.18499425475522976,0.5532103401004962,2.515294711542983,-0.24966445819947047,10.358097973194063,0.799962907315196,0.799962907315196,0.13241953483808938
38.543218298699664,5.136648495571659,0.5844709710287639,0.25955166052946643,0.5611120156150692,2.4975215129048354,-0.12312741442865871,10.456006870487057,0.8163752115652709,0.8163752115652709,0.13638970029031083
38.78389290737081,5.365785575686349,0.658094783586421,0.36931746713918506,0.5639658633265476,2.4911943694369603,-0.005205405773594407,10.552494469439344,0.841881746558223,0.841881746558223,0.1372528576664869
39.020969088126854,5.580482279630718,0.7586454712881765,0.5109218010306147,0.5616369162758245,2.4963541598532593,0.10602114750344072,10.647561687076935,0.8500091159925288,0.8500091159925288,0.13621789337575124
39.255984559685125,5.775568983662901,0.8896929809234849,0.6762583702572905,0.5550593281048256,2.511101800021267,0.1730685652304178,10.741427903152118,0.8494283247182581,0.8494283247182581,0.13485256177894528
39.48824846821188,5.942315969810849,1.0513777539069047,0.8696956140367468,0.5474476357101632,2.528498672314837,0.17383774419723075,10.833603427700828,0.8494905075093668,0.8494905075093668,0.13502913630978866
39.71622140579906,6.068911122046465,1.2409702846209885,1.1033702754801584,0.5412979079303637,2.542821342344529,0.13673499244986864,10.92351017266198,0.8327058567474889,0.8327058567474889,0.13875680132117763
39.936314530325,6.140528878774152,1.4490853498730858,1.3862325233023067,0.5370912990677593,2.552759868474353,0.07884259914772684,11.009896049138106,0.7806804359975406,0.7806804359975406,0.14801141462374728
40.14515696028342,6.145786318795749,1.657861593433883,1.7158016612736264,0.5355610209637658,2.5564043140744905,0.015030462113994503,11.091648141064123,0.7038278584984304,0.7038278584984304,0.16140059229685677
40.34388987449757,6.083172622390618,1.8464730888803005,2.071185977700769,0.5359871942022401,2.555387790015786,-0.05564158425396215,11.169402834591322,0.6249894618188334,0.6249894618188334,0.17742891051317813
40.53768371313331,5.96213006560745,1.9978162464414206,2.4141184283681767,0.5390980513458417,2.5480042096177202,-0.12470970730782582,11.245349906127139,0.5634815613185103,0.5634815613185103,0.19452430029432738
40.734015201594076,5.797372386231145,2.104591526575703,2.7048980428902207,0.5441220973576116,2.5362136783922993,-0.1023903627846483,11.322581642762096,0.5064927884338416,0.5064927884338416,0.21100794022180405
40.94027702992882,5.601638216032916,2.169645937992624,2.9207387537815563,0.5458517389805496,2.5321922372071315,-0.009052893466531486,11.403972846138258,0.45378570114050576,0.45378570114050576,0.22517367947849518
41.16005328369033,5.384145736788889,2.201246937814294,3.0602459417074814,0.5445840797212946,2.5351376878973158,0.10376146949554865,11.490715275389883,0.4620868179044307,0.4620868179044307,0.23552014232271073
41.393656181366616,5.15071679913722,2.210260531413325,3.1359768295484027,0.5376397820267269,2.551457414106977,0.24236832819138954,11.582565675506943,0.5417333145429656,0.5417333145429656,0.24080829435352558
41.63643145345741,4.907964692022108,2.206906842409885,3.1701424131961558,0.5255277838640037,2.580692035120605,0.4030937916855848,11.677175263358029,0.5754940987484876,0.5754940987484876,0.2401665530889389
41.885310020335616,4.659240762243958,2.1981348524952673,3.1799609300234573,0.5066649678263834,2.6282918214903184,0.5993595464777179,11.772732697870843,0.6342758056747808,0.6342758056747808,0.23304847686999455
42.13909508058203,4.405616696804115,2.189096587504539,3.1722034414999682,0.48186770003914614,2.695070399208797,0.8267772307667034,11.86808035588277,0.7072150567451266,0.7072150567451266,0.21928529127518592
42.3972668504397,4.147498372380015,2.1838436504273946,3.148815059995468,0.4513329078404363,2.784745572159072,1.097213300353614,11.962306793853175,0.7991040670040224,0.7991040670040224,0.19904270022928355
42.659427732473446,3.885355090671835,2.186881400249105,3.1086161469269173,0.4164289558869949,2.899102444703397,1.469669461563143,12.054554468757917,0.8872942804237286,0.8872942804237286,0.17277763520323264
42.923195093661064,3.622013804229069,2.201867650031713,3.061118313101177,0.3764757624155223,3.0490567764941505,2.0770919188118135,12.143243204677301,0.861649588915456,0.861649588915456,0.14117303148711888
43.18707049156178,3.3595761214551545,2.2293756175596164,3.012628402592382,0.3306435379080698,3.25352390882919,2.4718271281589246,12.226978871406706,0.8501939484908765,0.8501939484908765,0.10514054347304617
43.450547342355264,3.099182222048487,2.2695635268837244,2.965198679230469,0.28058009859834493,3.4500437793295626,2.4999999999999822,12.305586819606855,0.8499917207148995,0.8499917207148995,0.06586200351346688
43.712838856001326,2.842060175355009,2.321381392865425,2.9200518468871586,0.2274663097234052,3.635142314617259,2.499999999999975,12.379626233721934,0.8555800526870111,0.8555800526870111,0.024698298331083602
43.97367971959435,2.5887306857321177,2.383527396818689,2.8857276098895186,0.1722381202656028,3.8103102190617033,2.4999999999999787,12.449693395499713,0.8950711816291487,0.8950711816291487,-0.016880536849863407
44.23360616215502,2.3377482207865996,2.451125901477566,2.8755809626999476,0.1158703748628076,3.9771970253294455,2.499999999999975,12.51644811800681,0.8886516842928677,0.8886516842928677,-0.057376634301031404
44.493735203940616,2.0864477577236205,2.5183211069957054,2.8883931458137035,0.06165835401180341,4.137480076957154,2.4999999999999787,12.580561338657894,0.8644035584120209,0.8644035584120209,-0.09531788703391118
44.75507701318575,1.8324913459514254,2.5800113183692424,2.9216165421013502,0.012177463028379978,4.292487674233093,2.4999999999999787,12.64256437756827,0.8970747643082362,0.8970747643082362,-0.12942212334616024
45.01840092011776,1.5742092143389135,2.631293093412995,2.971631942110409,-0.0297341830071986,4.4432049207866955,2.4999999999999716,12.702851276189712,0.8999933094072343,0.8999933094072343,-0.15875765580838447
45.284053112568785,1.3111148783304682,2.6680688696020756,3.036525669031533,-0.06506594522307953,4.590243014303079,2.4999999999999574,12.761666513596266,0.8999908112558536,0.8999908112558536,-0.18281708620144985
45.55257674428185,1.0432094571601545,2.68627947354409,3.1111852498574017,-0.09356962068887777,4.734231626032206,2.499999999999986,12.819261958287917,0.8801672091482349,0.8801672091482349,-0.20142465772725535
45.820428374777286,0.7753610618941527,2.6849629962407002,3.179508830476576,-0.11339989988446922,4.873623625332667,2.5000000000000213,12.875018758008101,0.8467312655964999,0.8467312655964999,-0.2147165376286847
46.08635765409214,0.510026494831723,2.667188038611801,3.2359642172479597,-0.12006594263111689,5.008178674725473,2.500000000000007,12.928840777765224,0.7989808462319097,0.7989808462319097,-0.22322050399956586
46.34854438766552,0.24962601934461243,2.6366352052249176,3.2776118569247124,-0.11321578966230483,5.1373910991710465,2.5000000000000284,12.980525747543453,0.7864173987080026,0.7864173987080026,-0.22650246630066095
46.60717532719551,-0.006123826305778915,2.5981387205546462,3.3019531620544407,-0.09224099789339568,5.261743247583624,2.499999999999986,13.030266606908484,0.7403332777998366,0.7403332777998366,-0.22476384119806433
46.86237445545709,-0.2578644760835378,2.55626700796795,3.3069110995112077,-0.06100485210994956,5.381629645822886,2.5,13.07822116620419,0.6725523654452646,0.6725523654452646,-0.21876188429072213
47.11415923614651,-0.5064873368462381,2.516489515676598,3.2903114884139275,-0.026880451556825256,5.497350411629848,2.5000000000000355,13.124509472526974,0.6553548945644152,0.6553548945644152,-0.209621525972862
47.3651902093768,-0.7552175333097588,2.482580241308637,3.2637816078901554,0.0019483422167916164,5.610349045683191,2.5,13.16970892614831,0.6796317484926268,0.6796317484926268,-0.19864751592081645
47.61745298797646,-1.0060020451986929,2.4553105133405806,3.2356026808237774,0.02239631321422062,5.721654507867163,2.500000000000014,13.214231111021899,0.7174268146796209,0.7174268146796209,-0.1870488520922713
47.87086962451275,-1.2585988487569193,2.434942732275143,3.2097464216875062,0.0342487459679896,5.831330336216433,2.500000000000014,13.258101442361607,0.7517052456862992,0.7517052456862992,-0.17580636865444635
48.124964489098005,-1.5122935792947008,2.4206884730533704,3.1847584894420997,0.04184139712706819,5.939266605651268,1.9585280915390229,13.30127595013554,0.8005146820522069,0.8005146820522069,-0.16556628530149797
48.379672763383006,-1.7668821859759578,2.412881659533148,3.161156675716964,0.049073782345709784,6.0,0.7101868384382328,13.343943273464168,0.8542166992224222,0.8542166992224222,-0.15678525898922546
48.63458433710783,-2.0217857491286755,2.41086079068117,3.1359266171504077,0.05325333593992895,6.0,1.4210854715202004e-14,13.386428535751639,0.849991972502381,0.849991972502381,-0.14994750513550592
48.88821593410749,-2.2753542199236687,2.416519201702401,3.1014616336427245,0.054624398920565836,6.0,0.0,13.428700468584916,0.8493558365358663,0.8493558365358663,-0.145435905511397
49.141598907939944,-2.5282934004903312,2.431509277167251,3.0632457137844886,0.05223942321768677,6.0,0.0,13.470930964223658,0.88925165527482,0.88925165527482,-0.14350305597640667
49.39570793530423,-2.781245311129034,2.455731760364748,3.0311805853795124,0.04483772209045875,6.0,0.0,13.513282468784373,0.8514634455277871,0.8514634455277871,-0.1441955571585849
49.65237894335991,-3.036102696019032,2.4861902525032797,3.0184715094981267,0.0337744582691891,6.0,0.0,13.556060970126987,0.8500220750651342,0.8500220750651342,-0.1472875349267228
49.9120575749191,-3.2939035486377004,2.517362549138933,3.0266478056055095,0.01808026697271234,6.0,-1.2756388707402095,13.599340742053519,0.8211885808668652,0.8211885808668652,-0.15234211195219607
50.17366162967941,-3.554097371419791,2.5444892159647017,3.0517975704720706,-0.004658047287645163,5.886747485721789,-3.2886446789171373,13.643356828888802,0.8003384277292098,0.8003384277292098,-0.15863957819182342
50.437879022121685,-3.8176808505151523,2.5627807445225588,3.0960560874887153,-0.038067004039271504,5.703000403384085,-4.021139219714534,13.68895184872364,0.7999999806838696,0.7999999806838696,-0.1650850021959352
50.70407681707828,-4.083845730695163,2.5669667448228153,3.1583115469246845,-0.08302001259718658,5.5125563833568725,-3.990379415793825,13.73642123433119,0.8000000059623128,0.8000000059623128,-0.17006879861241544
50.971068782242085,-4.350471396250173,2.5529859033109887,3.2301457414342343,-0.12380862997840487,5.316900869654759,-3.930313315226023,13.785729700845438,0.7999916001956785,0.7999916001956785,-0.17177082915841843
51.23592415998622,-4.613306807469333,2.520337507803032,3.298864848776396,-0.13354675551226045,5.119379811757061,-0.6929856289431413,13.836486361351104,0.7940304371038608,0.7940304371038608,-0.16815786754965517
51.498524333117984,-4.871334851986798,2.4715483781599916,3.3556013016094544,-0.12059044628920647,5.246050945490769,2.4999999999999787,13.887154814844587,0.7481555263457829,0.7481555263457829,-0.15799520062761604
51.75828730963983,-5.123948143130009,2.4110229363252786,3.3946718483287364,-0.09300140548460557,5.368413676803775,2.4999999999999787,13.93609990736979,0.745569830011527,0.745569830011527,-0.1410359730638704
52.016277929001234,-5.372968376124908,2.3435834579936166,3.4142826946191103,-0.05697417623149939,5.487241429179222,1.0821028048822754,13.98363100831997,0.6922136077503818,0.6922136077503818,-0.11782682001744434
52.273400117512494,-5.620457006306777,2.2738611677592746,3.415002473414143,-0.016047267398038953,5.472338018169057,-2.1493822850552533,14.030552916180854,0.6347030333504277,0.6347030333504277,-0.08944837112529054
52.53018946356917,-5.868348054655242,2.2068477631530605,3.391132873806143,0.02548492294326935,5.280626677426462,-4.020889209758458,14.078314506277371,0.5676987340452919,0.5676987340452919,-0.05725968117392965
52.78787262341297,-6.119314394930413,2.1483968699522533,3.348626502191301,0.06762186660932273,5.080260643584226,-4.0213240721053225,14.128056029731882,0.5801622441608428,0.5801622441608428,-0.022700826687462015
53.047368860862626,-6.374351499297483,2.10049725986422,3.307506494090142,0.10696901650749593,4.870905725486874,-4.004837099727794,14.180209963818681,0.6419541433989276,0.6419541433989276,0.01279180097027072
53.307784563383876,-6.631829610267831,2.0614926384613965,3.27895811499567,0.1432102560437194,4.652416208556751,-3.990291155896145,14.234900061312986,0.7418762324021502,0.7418762324021502,0.04794110910848421
53.56787781450128,-6.8897778242936445,2.028157699467677,3.2627937630466812,0.1743629677633771,4.424011027148848,-3.9861479833168403,14.292211874510635,0.7931287673618296,0.7931287673618296,0.08165698497625962
