x_m,y_m,psi_rad,v_mps
-7.40254347386819,-2.7691390442114114,2.21777881992528,3.5859579021376127
-7.546441073405315,-2.5696320417986693,2.167684469258748,3.5754380578863088
-7.678835677314092,-2.362274590447661,2.118531501241275,3.568490053318092
-7.805320734000661,-2.1451851512792395,2.089293890794273,3.568085095767697
-7.927224792144364,-1.926738416911252,2.052772436436104,3.5781853068840204
-8.033942739634387,-1.7093271640872274,1.9845133961245331,3.603566329658888
-8.118837688459719,-1.4915407502880318,1.8831821570794465,3.649335699457045
-8.17618930352478,-1.2718335733490336,1.7540748481534811,3.720155169685773
-8.200814213030892,-1.054726130749111,1.5907354479056155,3.819084322645126
-8.186078881121924,-0.8432448383896047,1.398915302545731,3.946015310441489
-8.130900847376743,-0.6452791502033812,1.1792701593113568,4.096326103041114
-8.03498993876709,-0.4720289075470785,0.9262041055901349,4.260867183298632
-7.89493222378267,-0.33128119937508915,0.6691456533582919,4.427715346099445
-7.717473381792253,-0.22334480044339733,0.45009609483054724,4.584524844753583
-7.511069494556849,-0.14834163616345952,0.2775487794940925,4.720886653911605
-7.284083316332641,-0.10157692662292717,0.15857669764693735,4.830248113885485
-7.045295156177388,-0.07489526154309623,0.07659310412574122,4.9105637395793655
-6.802448212053788,-0.06472422519322985,0.010219975956155553,4.963311103203266
-6.557036086016201,-0.07027989646199018,-0.04010546870101346,4.991843342733689
-6.304040886171801,-0.0795956071351851,-0.014678793119743919,5.000000046004042
-6.046940743159668,-0.07877685831263292,0.015538200503050562,4.99999980336915
-5.788712956813931,-0.07479645991085704,0.027928324370078028,4.9999998066016555
-5.53094590884816,-0.06568782188419675,0.024402789993078614,4.999999808691475
-5.271764258225899,-0.06324193812579182,0.020939463042339915,4.999999809815668
-5.008611060692178,-0.05577272678801748,0.042287426647516446,4.99999981019228
-4.7463323235099555,-0.04215571954684094,0.06045685801662712,4.9999998100752325
-4.485943367609712,-0.024857276041448273,0.06539856544318157,4.999999809717233
-4.22610032957336,-0.008381475085863954,0.07102662383593941,4.999999809331671
-3.966475332039099,0.012113833932183127,0.08375382356138157,4.999999809042761
-3.7074943797763487,0.03546947798094635,0.09380420874456613,4.9999998088584885
-3.448890954479753,0.06142244709952038,0.10413444769541753,4.999999808691343
-3.191287363803438,0.09022403262265755,0.10650612760783679,4.999999808425846
-2.9353718874875305,0.11716402042702612,0.0907782847466061,4.99999980799707
-2.679502557241167,0.13756792216551617,0.07352876493648873,4.999999807433483
-2.423675352558599,0.1555110576853309,0.06309257030421905,4.999999806841321
-2.1685780334869023,0.17039370881494342,0.0499888100299304,4.9999998063503375
-1.912963395027406,0.18147810365698724,0.044560692557192916,4.999999806066521
-1.6560721500604747,0.19356557977033084,0.05389715540436095,4.999999806062906
-1.3988201468086097,0.20942640859015604,0.06839715678151154,4.999999806397283
-1.1427587960715313,0.22890664325095145,0.06392203445363048,4.999999807111484
-0.8863431925765262,0.2424318925179545,0.04254276616677405,4.999999808177081
-0.627653793502696,0.250797640391875,0.02816366925232465,4.99999980941192
-0.3670189981077372,0.2566103581810779,0.017057020588815613,4.999999810447126
-0.1042629733542455,0.25868998684006783,-0.0066286972961160096,4.999999810810303
0.1564468573647506,0.2519654838002552,-0.0078236610524553,4.999999810115376
0.41268969091897545,0.2539643002589518,0.022628611487835376,4.999999808277518
0.6671621891808744,0.2632322255825432,0.04112206460590068,4.999999805639017
0.9181825275078856,0.27439215133485906,0.056684886095048466,4.999999802932274
1.1650102040783614,0.29162015748686443,0.07861938109344248,4.999999801012456
1.4106131703162075,0.31302222261875823,0.09280612248231347,4.999999800520834
1.6556265458860357,0.340067264489063,0.1254327788368054,4.999999801505385
1.9000270568533162,0.37637782658544694,0.168096235573229,4.999999803455068
2.149889072636615,0.42304232440599066,0.1717528998566505,4.999999805792649
2.411932340373262,0.46653055247031716,0.1336329351042928,4.9999998079718875
2.678788010795559,0.49565008761192786,0.09231080387911605,4.999999809561618
2.942455776991082,0.5168450526311865,0.07446921308011258,4.999999810375577
3.2061086781610104,0.5353497937881926,0.060126681387775126,4.999999810382175
3.4709508732982446,0.5483161569026223,0.039860444568425316,4.9999998095751765
3.732206277787798,0.5554862723351164,0.0311234034876417,4.999999807922755
3.9851972856424145,0.5631315295496275,0.04933319571301052,4.999999805410556
4.239028840812957,0.5787897542699447,0.04951574278820918,4.999999802124369
4.495229096997666,0.5908302241191681,0.061584206300317836,5.000000046543088
4.740986840945439,0.609458226173083,0.11272476781328701,4.989714428532477
4.9774804490201605,0.6449399462970491,0.19468466090004982,4.959422916361762
5.203398956277002,0.7001039880593161,0.3007711007427691,4.907033421268506
5.4172705639622905,0.7808724281863744,0.4240294736131213,4.830281546251522
5.615007303826849,0.8848936498407598,0.5763773842540507,4.726547855049338
5.784847802578818,1.0184135973547135,0.7586121717282452,4.592886943653546
5.925523440402594,1.1787938874082093,0.9478740301692009,4.426759453503539
6.028466409451518,1.3545759394842078,1.1733941509602657,4.228116823867628
6.079932911218453,1.5382262112967515,1.4549665373012255,4.002541563388355
6.073708902692923,1.7208383470524111,1.7743840439755425,3.7617491208860154
6.009074798909801,1.8877882385618923,2.1109474567734496,3.517872382957048
5.889822952179258,2.0258078503248638,2.435933221830182,3.2812082283707613
5.725776602641672,2.125518202136357,2.721309067139681,3.067286962388142
