x_m,y_m,w_tr_right_m,w_tr_left_m
-10.67589,1.691494,1.0694,1.0694
-10.697099,1.658355,1.0392,1.0392
-10.716772,1.623947,1.0489,1.0489
-10.734927,1.58829,1.0489,1.0489
-10.75158,1.55141,1.0188,1.0188
-10.766754,1.513333,1.0386,1.0386
-10.781343,1.474087,1.0288,1.0288
-10.794391,1.433707,1.0288,1.0288
-10.805932,1.392228,1.0189,1.0189
-10.816,1.349686,0.9598,0.9598
-10.824633,1.306124,0.95,0.95
-10.831873,1.261585,0.95,0.95
-10.837763,1.216116,0.95,0.95
-10.84235,1.169765,0.95,0.95
-10.845684,1.122586,0.95,0.95
-10.847816,1.074634,0.9492,0.9492
-10.849672,1.025966,0.9492,0.9492
-10.850327,0.976643,0.9394,0.9394
-10.849847,0.925744,0.9295,0.9295
-10.848296,0.874203,0.9098,0.9098
-10.845744,0.822086,0.9,0.9
-10.842264,0.769462,0.9,0.9
-10.837929,0.716404,0.9,0.9
-10.833688,0.662985,0.9,0.9
-10.82864,0.609285,0.9,0.9
-10.82287,0.555383,0.9,0.9
-10.816468,0.501363,0.9,0.9
-10.809526,0.44731,0.95,0.95
-10.802137,0.393315,0.9492,0.9492
-10.7944,0.339467,0.9394,0.9394
-10.787285,0.285863,0.9295,0.9295
-10.779913,0.2326,0.9197,0.9197
-10.772393,0.179777,0.9098,0.9098
-10.764837,0.127499,0.9,0.9
-10.758229,0.07587,0.9492,0.9492
-10.751704,0.025,0.95,0.95
-10.745386,-0.025,0.95,0.95
-10.7394,-0.075,0.9492,0.9492
-10.733875,-0.125,0.9394,0.9394
-10.727957,-0.175,0.9295,0.9295
-10.723518,-0.225,0.9197,0.9197
-10.718726,-0.275,0.9098,0.9098
-10.713604,-0.325,0.9,0.9
-10.708174,-0.375,0.9,0.9
-10.703329,-0.425,0.9,0.9
-10.698109,-0.475,0.9,0.9
-10.692541,-0.525,0.8992,0.8992
-10.686649,-0.575,0.8894,0.8894
-10.68046,-0.625,0.8795,0.8795
-10.674868,-0.675,0.8697,0.8697
-10.668917,-0.725,0.8598,0.8598
-10.663506,-0.775,0.8992,0.8992
-10.657681,-0.825,0.9,0.9
-10.652344,-0.875,0.9,0.9
-10.646544,-0.925,0.8992,0.8992
-10.641184,-0.975,0.8894,0.8894
-10.635318,-1.025,0.8795,0.8795
-10.629851,-1.075,0.8697,0.8697
-10.623839,-1.125,0.8598,0.8598
-10.618192,-1.175,0.85,0.85
-10.612838,-1.225,0.8697,0.8697
-10.607707,-1.275,0.8795,0.8795
-10.602733,-1.325,0.8795,0.8795
-10.596982,-1.375,0.8697,0.8697
-10.591376,-1.425,0.8598,0.8598
-10.585853,-1.475,0.85,0.85
-10.579371,-1.525,0.8492,0.8492
-10.572743,-1.575,0.8394,0.8394
-10.565913,-1.625,0.8295,0.8295
-10.558829,-1.675,0.8689,0.8689
-10.550572,-1.725,0.8591,0.8591
-10.542077,-1.775,0.8492,0.8492
-10.533296,-1.825,0.8389,0.8389
-10.524187,-1.875,0.8189,0.8189
-10.514708,-1.925,0.8091,0.8091
-10.504821,-1.975,0.8492,0.8492
-10.493506,-2.025,0.8389,0.8389
-10.481599,-2.075,0.8189,0.8189
-10.469067,-2.125,0.8091,0.8091
-10.455879,-2.175,0.8389,0.8389
-10.44201,-2.225,0.8189,0.8189
-10.427435,-2.27587,0.8091,0.8091
-10.412133,-2.326629,0.8492,0.8492
-10.396086,-2.377279,0.8389,0.8389
-10.379277,-2.427823,0.8189,0.8189
-10.361696,-2.479134,0.8591,0.8591
-10.343331,-2.530233,0.8389,0.8389
-10.32319,-2.581126,0.8189,0.8189
-10.302138,-2.632688,0.8591,0.8591
-10.28017,-2.683945,0.8389,0.8389
-10.257284,-2.734903,0.8689,0.8689
-10.233482,-2.786442,0.8591,0.8591
-10.208768,-2.837588,0.8788,0.8788
-10.183149,-2.888353,0.8894,0.8894
-10.156635,-2.939619,0.8992,0.8992
-10.129239,-2.990414,0.8895,0.8895
-10.100976,-3.040752,0.8992,0.8992
-10.07088,-3.09152,0.8691,0.8691
-10.03984,-3.141747,0.8788,0.8788
-10.007876,-3.192322,0.9089,0.9089
-9.975013,-3.242281,0.8788,0.8788
-9.941278,-3.291642,0.8798,0.8798
-9.9067,-3.341295,0.8798,0.8798
-9.871312,-3.390279,0.8497,0.8497
-9.834164,-3.438616,0.8594,0.8594
-9.796162,-3.48633,0.8691,0.8691
-9.757344,-3.533441,0.8788,0.8788
-9.717752,-3.580844,0.84,0.84
-9.677428,-3.627579,0.84,0.84
-9.636419,-3.673671,0.8798,0.8798
-9.594776,-3.719147,0.8798,0.8798
-9.551565,-3.764901,0.8798,0.8798
-9.507708,-3.809976,0.8798,0.8798
-9.463262,-3.854403,0.8798,0.8798
