x_m,y_m,w_tr_right_m,w_tr_left_m
3.125962,-4.827408,0.6300,0.6300
3.085457,-4.870235,0.5998,0.5998
3.044280,-4.912188,0.6300,0.6300
3.002478,-4.953221,0.6192,0.6192
2.960104,-4.993294,0.6095,0.6095
2.917214,-5.033240,0.5998,0.5998
2.873866,-5.072910,0.5600,0.5600
2.830119,-5.112165,0.5600,0.5600
2.785054,-5.150868,0.5697,0.5697
2.739603,-5.188019,0.6095,0.6095
2.693833,-5.223607,0.5794,0.5794
2.646830,-5.258490,0.5992,0.5992
2.599531,-5.292550,0.6192,0.6192
2.552009,-5.325674,0.6492,0.6492
2.504340,-5.356886,0.6192,0.6192
2.455616,-5.386194,0.6492,0.6492
2.406784,-5.414482,0.6192,0.6192
2.357927,-5.441653,0.6492,0.6492
2.308141,-5.467618,0.6394,0.6394
2.258381,-5.491421,0.6795,0.6795
2.207748,-5.513965,0.6591,0.6591
2.157199,-5.535173,0.6992,0.6992
2.106823,-5.554106,0.6894,0.6894
2.055726,-5.571679,0.6795,0.6795
2.004871,-5.586961,0.7197,0.7197
1.953368,-5.600876,0.7098,0.7098
1.902182,-5.613371,0.7000,0.7000
1.851409,-5.624399,0.7000,0.7000
1.800167,-5.633916,0.7500,0.7500
1.748440,-5.641885,0.7500,0.7500
1.697199,-5.647407,0.7598,0.7598
1.645562,-5.651436,0.7697,0.7697
1.594504,-5.653951,0.7795,0.7795
1.543144,-5.654064,0.7894,0.7894
1.491476,-5.652745,0.7992,0.7992
1.440474,-5.649987,0.8000,0.8000
1.389263,-5.645786,0.8098,0.8098
1.338823,-5.639276,0.8197,0.8197
1.288279,-5.631445,0.8295,0.8295
1.237629,-5.621436,0.8189,0.8189
1.186870,-5.610247,0.8389,0.8389
1.136000,-5.597028,0.8788,0.8788
1.086000,-5.582785,0.9000,0.9000
1.036000,-5.566677,0.8689,0.8689
0.986000,-5.548850,0.8788,0.8788
0.936000,-5.530321,0.9089,0.9089
0.886000,-5.511131,0.8689,0.8689
0.836000,-5.490454,0.8788,0.8788
0.786000,-5.468452,0.8591,0.8591
0.736000,-5.445292,0.8689,0.8689
0.686000,-5.421140,0.8389,0.8389
0.636000,-5.395184,0.8591,0.8591
0.586000,-5.369335,0.8189,0.8189
0.536000,-5.341799,0.8389,0.8389
0.486000,-5.313624,0.8189,0.8189
0.436000,-5.284004,0.8098,0.8098
0.386000,-5.253989,0.8098,0.8098
0.336000,-5.223647,0.8098,0.8098
0.286000,-5.193048,0.7700,0.7700
0.236000,-5.161396,0.7700,0.7700
0.186000,-5.128763,0.7398,0.7398
0.136000,-5.096209,0.7398,0.7398
