x_m,y_m,w_tr_right_m,w_tr_left_m
-3.914,-4.581242,0.55,0.55
-3.964,-4.593846,0.5598,0.5598
-4.014,-4.606383,0.5697,0.5697
-4.064,-4.618723,0.5795,0.5795
-4.114,-4.629872,0.5394,0.5394
-4.164,-4.640688,0.5492,0.5492
-4.214,-4.651048,0.5794,0.5794
-4.264,-4.659963,0.5992,0.5992
-4.314,-4.668295,0.6192,0.6192
-4.364,-4.675929,0.6095,0.6095
-4.414,-4.683735,0.6397,0.6397
-4.464,-4.689862,0.6698,0.6698
-4.514,-4.695188,0.6795,0.6795
-4.564,-4.699606,0.6591,0.6591
-4.614,-4.703014,0.6492,0.6492
-4.664,-4.705425,0.6394,0.6394
-4.714,-4.706856,0.6295,0.6295
-4.764,-4.707212,0.6197,0.6197
-4.814,-4.706403,0.6098,0.6098
-4.86487,-4.705323,0.6,0.6
-4.915629,-4.703019,0.6,0.6
-4.966279,-4.69941,0.6,0.6
-5.016823,-4.694534,0.6,0.6
-5.067263,-4.68843,0.6,0.6
-5.118474,-4.682009,0.6,0.6
-5.169476,-4.674337,0.55,0.55
-5.220274,-4.665348,0.5598,0.5598
-5.270875,-4.654983,0.5697,0.5697
-5.321284,-4.643298,0.5795,0.5795
-5.371506,-4.630352,0.5894,0.5894
-5.422418,-4.616094,0.5492,0.5492
-5.473043,-4.601457,0.5794,0.5794
-5.52426,-4.585529,0.5992,0.5992
-5.575095,-4.568268,0.5794,0.5794
-5.625561,-4.55062,0.5894,0.5894
-5.675668,-4.531684,0.5794,0.5794
-5.725428,-4.511428,0.5794,0.5794
-5.774851,-4.489828,0.5697,0.5697
-5.82395,-4.466858,0.5794,0.5794
-5.872735,-4.443482,0.5492,0.5492
-5.922089,-4.418814,0.5794,0.5794
-5.971039,-4.392841,0.5492,0.5492
-6.019602,-4.365554,0.5697,0.5697
-6.06779,-4.336946,0.5395,0.5395
-6.115618,-4.307012,0.5492,0.5492
-6.163971,-4.27575,0.5492,0.5492
-6.21188,-4.243164,0.5794,0.5794
-6.259362,-4.21024,0.5992,0.5992
-6.306435,-4.176119,0.5697,0.5697
-6.353986,-4.140813,0.5794,0.5794
-6.401919,-4.104339,0.5992,0.5992
-6.450144,-4.066714,0.6095,0.6095
-6.4977,-4.028944,0.5794,0.5794
-6.544615,-3.990186,0.5992,0.5992
-6.591782,-3.950469,0.5998,0.5998
-6.638246,-3.910811,0.6095,0.6095
-6.684905,-3.871364,0.6192,0.6192
-6.731676,-3.831301,0.5992,0.5992
-6.777609,-3.790669,0.6095,0.6095
-6.823606,-3.749519,0.6192,0.6192
-6.868721,-3.707901,0.63,0.63
-6.91386,-3.664886,0.6698,0.6698
