s_m,ey_m,epsi_rad,v_mps,a_mps2,delta_rad,sdot_mps,t_s,x_m,y_m,psi_rad,v_mps
3.103631798203802,0.46575849092501315,-0.0009193179734860808,6.999999519761519,2.0438132783059677,0.0082208042846937,8.101745251092598,0.4085093677982615,3.2274818185494096,-6.696955485930042,0.5337703698142366,6.999999519761519
3.3629180348143484,0.4657585956600458,0.0009202540889684935,6.999999523924977,1.9175335206409614,-0.008152704021113833,8.023717052335412,0.4404758394091958,3.413191987368889,-6.575434713524793,0.6170424341090196,6.999999523924977
3.6227043009635262,0.4657584234813494,-0.0009217782245071648,6.999999529775616,1.7614122220489103,0.008069047242511831,7.929302343682828,0.4727524509802228,3.5944822437404347,-6.436522983528001,0.6832512584441547,6.999999529775616
3.882382984152746,0.46575857439278007,0.0009230983542600022,6.999999536179567,1.6011840431227469,-0.007989498889821972,7.834687558979744,0.5054140635163931,3.7705988886622346,-6.2834992963084355,0.7413874197193767,6.999999536179567
4.141686618357594,0.4657582833091847,-0.0009256143342046472,6.999999542169743,1.458348861512692,0.007925798870192085,7.752226092242756,0.5384694796634278,3.941454350952426,-6.119126035297005,0.7871305038880247,6.999999542169743
4.400661710348836,0.46575855038328934,0.0009278984515799788,6.999999547073882,1.3477763586887685,-0.007888543288451668,7.689573729340127,0.5718770916738739,4.106090307063246,-5.946079264672626,0.8318736076120384,6.999999547073882
4.659283620400437,0.4657580783836152,-0.0009319026086057827,6.999999550519411,1.2772655718360104,0.007881324439493801,7.650146113741544,0.6055563607094938,4.263929413758168,-5.7657850127494665,0.870607132435729,6.999999550519411
4.9175497857437085,0.46575854026707725,0.0009358007965091366,6.999999552381617,1.248735552373101,-0.007903349404352725,7.634308591792057,0.639409714528021,4.414510752049052,-5.579328058211855,0.9120635964792237,6.999999552381617
5.175427871380391,0.4657579252753735,-0.0009409805117005441,6.99999955268902,1.2605575596027636,0.007954081750359094,7.640862590155397,0.6733328066894341,4.557307827235941,-5.38752497372559,0.9501848545610826,6.99999955268902
5.432981284313682,0.46575855106589886,0.0009462556277276473,6.999999551521575,1.310439001626697,-0.00802627304519888,7.668645617862404,0.7072272903925882,4.69152461833016,-5.191099327284517,0.9940730491323715,6.999999551521575
5.690065041440689,0.46575796875260445,-0.0009511821730653164,6.999999548905917,1.3982343311017966,0.008120867468753958,7.718037230646696,0.7409984738701293,4.815632913350488,-4.991398929370483,1.0387766529589473,6.999999548905917
5.946927922089954,0.4657585772510405,0.0009563633282710882,6.999999544720369,1.5280368561250697,-0.008236660909268178,7.792240571270224,0.7745540673324254,4.929432156253685,-4.786108122908818,1.0886437611923956,6.999999544720369
6.204570333115945,0.465758162858242,-0.0009599257248976826,6.999999538627457,1.7090215068243186,0.00838098860205273,7.898114484567255,0.8077895506397628,5.033802155688736,-4.575610335505844,1.1370000848640367,6.999999538627457
