s_m,ey_m,epsi_rad,v_mps,a_mps2,delta_rad,sdot_mps,dt_s,t_s,curvature_1pm,x_m,y_m,psi_rad,v_mps,x_rollout_m,y_rollout_m,psi_rollout_rad,v_rollout_mps,psi_err_rad,xy_err_m,v_err_mps
64.23827898763187,0.0,0.0,3.992375190846393,-4.0000000000000036,0.06438192291468461,3.992375190846393,0.01260114089940677,20.24585902756278,0.19536674452933234,-10.531714357576305,-1.8337969140656005,-1.392659793002674,3.992375190846393,-10.165029687249174,-3.705966721627385,5.018305887394051,3.992375190846393,0.12778037321713853,1.9077414488863125,0.0
64.28829645078031,0.0,0.0,3.941970627248766,-4.000000000000008,0.06902999965300935,3.941970627248766,0.01276436780690979,20.258460168462186,0.20951471193509344,-10.522693559177824,-1.8829967873159683,-1.3858834006303664,3.941970627248766,-10.149741500320616,-3.753562331063206,5.02807244772075,3.941970627248766,0.13077054117153075,1.9073826809689316,0.0
64.33831865041174,0.0,0.0,3.8909131560211265,-3.999999999999984,0.07381679071690743,3.8909131560211265,0.012934106989400836,20.271224536269095,0.22409441660718332,-10.51332009980574,-1.932135782804965,-1.3777996275661502,3.8909131560211265,-10.1339724370519,-3.801000758095732,5.038546277739133,3.8909131560211265,0.1331605981256967,1.906976912577958,0.0
64.38834544729941,0.0,0.0,3.8391767280635234,-3.999999999999987,0.07783863693140458,3.8391767280635234,0.013110803355452047,20.284158643258497,0.23635219138126157,-10.503503198457011,-1.9811927733987575,-1.3596148590934798,3.8391767280635234,-10.117690170904961,-3.848265461991853,5.049748960385779,3.8391767280635234,0.12617851229967236,1.9065183232057143,0.0
64.43842772168443,0.0,0.0,3.7867335146417154,-1.5450211445264106,0.0803740598519348,3.7867335146417154,0.01323733750897441,20.29726944661395,0.2440835760671404,-10.492324081269237,-2.0300750703045165,-1.3409878636558679,3.7867335146417154,-10.100865032161622,-3.8953396183187787,5.061564420284206,3.7867335146417154,0.1193669767604888,1.9058992683788638,0.0
64.48852859379627,0.0,0.0,3.7662815482931173,0.6358000271955958,0.08124551129487553,3.7662815482931173,0.013258441171683557,20.310506784122925,0.24674165830077333,-10.480678140298282,-2.0787602180999416,-1.3302434127042686,3.7662815482931173,-10.083475827021925,-3.942208318964426,5.073766379098432,3.7662815482931173,0.1208244846231139,1.9053106051999877,0.0
64.53859010926121,0.0,0.0,3.774711265550645,1.3688335576013266,0.08088462253348194,3.774711265550645,0.013211986779525413,20.323765225294608,0.24564083772187245,-10.468470804770933,-2.127315198455801,-1.318510424404196,3.774711265550645,-10.065512943478003,-3.988860153779067,5.0861012178485465,3.774711265550645,0.12142633507315637,1.9046586724836743,0.0
64.58865902491812,0.0,0.0,3.7927962764170444,-2.307823118555313,0.08011840937727108,3.7927962764170444,0.013233769689214902,20.33697721207413,0.2433038675222518,-10.455681920084594,-2.1757281212187793,-1.3063962512897551,3.7927962764170444,-10.046977274576523,-4.035287388643052,5.098381025581901,3.7927962764170444,0.12159196969206931,1.9039433175185063,0.0
64.63869018412558,0.0,0.0,3.7622550767826377,-4.000000000000018,0.07985489857769575,3.7622550767826377,0.013382691129494024,20.350210981763347,0.24250021926597726,-10.442321495242567,-2.2239002965701498,-1.295147645766947,3.7622550767826377,-10.027875596239433,-4.081484635723507,5.110544006060487,3.7622550767826377,0.1225063446478476,1.9032564147450894,0.0
64.6887252882693,0.0,0.0,3.7087243122646614,-4.000000000000015,0.08078261560127666,3.7087243122646614,0.01357870332958028,20.36359367289284,0.24532969721483816,-10.42844569273697,-2.2720205638431037,-1.2859229230081668,3.7087243122646614,-10.008214370918843,-4.127446534880554,5.122666811435602,3.7087243122646614,0.12540442726418277,1.9024194852443232,0.0
