x_rollout_m,y_rollout_m,psi_rollout_rad,v_rollout_mps,psi_err_rad,xy_err_m,v_err_mps
1.3855674444103299,-7.527958607121266,-0.021026610634526807,4.0,0.0025736593807890173,0.0003069698710404281,0.0
1.4355485040651044,-7.528950098454695,-0.018642868712959414,4.0,0.009076137258197559,0.0008511430638554886,0.0
1.4855320662281264,-7.529805748203239,-0.015591033165096031,4.0,0.00137134638097125,0.0012307492142085681,0.0
1.5355182263913127,-7.530492398045538,-0.011880837238682173,4.0,-0.0014912054443780853,0.0010047949885177414,0.0
1.5855067302030597,-7.530978365438068,-0.007561716424029442,4.0,-0.0044379873370368195,0.00109702695587395,0.0
1.6354969283290905,-7.531234725791719,-0.002694618457316206,4.0,-0.003201851684078161,0.0005754553364198878,0.0
1.6854877730681255,-7.531235216427267,0.0026749894342248722,3.9740487021755273,0.006055923262005436,0.0007897897468699843,0.0
1.7354778228093113,-7.530955281920857,0.008524502521661644,3.9234087027569853,0.004907496037872328,0.0011921441457969195,0.0
1.7854652311683161,-7.530371121293431,0.014846744598317797,3.8721064823265783,-0.005552588030956596,0.0012918222384372402,0.0
1.8354477149498596,-7.529458854525784,0.021652661526598064,3.820115361096019,-0.006882043748478672,0.0006499373284799149,0.0
1.885422475682308,-7.528192912148204,0.02899977505158259,3.7674068181825047,-3.394351505781046e-05,0.0006180925018226821,0.0
1.935386007788275,-7.526542879874045,0.037025693354300754,3.7139503086732706,0.0010942926487471638,0.000663058324868373,0.0
1.9853337314617623,-7.524469505543467,0.04594844407832027,3.6597130566344322,0.001640315908466139,0.0007486544581767247,0.0
2.0352594723608717,-7.521921986854833,0.0560154375905734,3.6046598200810567,0.001947603300331835,0.0008539289891868525,0.0
2.085154936376718,-7.518838778800935,0.06741432704735417,3.5487526231216866,0.002307332646978466,0.0009746469304072606,0.0
2.13500943477661,-7.515152913775313,0.08018203527697715,3.4919504494937077,0.0028442449010830373,0.0011165735598315139,0.0
2.1848101291602298,-7.510800818329807,0.09415556848958714,3.43420889046161,-0.000718491655796516,0.0012867270631644267,0.0
2.2345429176378575,-7.505731846587798,0.10899118590883863,3.3866863718013382,-0.01251033638809984,0.0010639568321459988,0.0
2.2841937903072393,-7.499915237410625,0.12424607594160793,3.3879641664060407,-0.014281636705594902,4.666027832634284e-05,0.0
2.3337501961510267,-7.493342200770951,0.1394894611653928,3.424654101781298,-0.006629460857042524,0.0003726253068253602,0.0
2.383201890079069,-7.486022759232326,0.15440069404650014,3.460955105291538,-0.006122371461327436,0.0008288940241315218,0.0
2.4325409344316355,-7.477978759664852,0.16882583358291836,3.496879289429312,-0.008511632735921815,0.0011338379571368355,0.0
2.481760858725897,-7.469235247402117,0.18278964244777401,3.5324381507445732,-0.011558714242377643,0.0015841701009222584,0.0
2.5308552328954663,-7.459812190875811,0.19647310411689178,3.5298932572159956,-0.011046999728229423,0.0022263249877784966,0.0
2.5798160438332896,-7.449718107244731,0.21016266490954133,3.472782626215641,0.00030549487855990876,0.0026546000443567613,0.0
2.628632330415215,-7.4389468569772985,0.2241752845829868,3.414716961997211,0.0036963614456548832,0.002350758398747701,0.0
2.6772894988766938,-7.427478372856366,0.23877475181433463,3.3556466876233735,-0.003401463630066104,0.002429049017523478,0.0
2.725769537051206,-7.41528298467227,0.2541082567907881,3.2955177823468005,-0.0059490893247615695,0.002636592005648754,0.0
2.774052012830822,-7.402327705839605,0.2701872179080875,3.2342712031260197,-0.007413205101155285,0.002959113100608607,0.0
2.822115458327906,-7.388582251992786,0.2869137602272348,3.187427149945762,-0.006101268835674745,0.0033201414732910817,0.0
2.869938639952572,-7.374022990542363,0.3041355588425863,3.1557334697420063,-0.00599787619744685,0.003727190769354306,0.0
2.9175013072196543,-7.35863406728654,0.32170501868173734,3.134017416115612,-0.0084128671222512,0.0040662233700712765,0.0
2.9647842734238212,-7.342406141250826,0.33951880466936935,3.1174585753000645,-0.00938322119721402,0.004485706145356538,0.0
3.011769039390156,-7.325334093089647,0.35752233434896336,3.103987690716347,-0.007292680905289561,0.004936829591648345,0.0
