s_m,ey_m,epsi_rad,v_mps,a_mps2,delta_rad,sdot_mps,dt_s,t_s,curvature_1pm
61.337253304168165,0.0,0.0,2.4013982804784364,2.500000000000002,0.15043503301190478,2.4013982804784364,0.020596595948071422,19.393199864466148,0.45933399186983853
61.387596870798156,0.0,0.0,2.452889770348615,2.5000000000000013,0.13742774529537233,2.452889770348615,0.02017302878204105,19.41379646041422,0.4190894022346742
61.43791527645906,0.0,0.0,2.5033223423037176,2.5000000000000044,0.12574395612638467,2.5033223423037176,0.019774566037781903,19.433969489196258,0.3830633635578458
61.488457061533886,0.0,0.0,2.5527587573981725,2.499999999999999,0.114578460064445,2.5527587573981725,0.019398821687372177,19.45374405523404,0.34873488189464136
61.53900844755074,0.0,0.0,2.601255811616603,2.4999999999999933,0.10355784035901955,2.601255811616603,0.0190437156151488,19.47314287692141,0.3149382662592623
61.5893200446082,0.0,0.0,2.648865100654475,2.5000000000000053,0.09286523054432967,2.648865100654475,0.018707424965107893,19.49218659253656,0.2822215446071375
61.6396055987393,0.0,0.0,2.6956336630672446,2.5000000000000044,0.08303947287105018,2.6956336630672446,0.01838834462406137,19.510894017501666,0.25221475310496605
61.68986178293886,0.0,0.0,2.741604524627398,2.500000000000007,0.07454237841901871,2.741604524627398,0.018085054879841904,19.529282362125727,0.22630531070941057
61.74006543558681,0.0,0.0,2.786817161827003,2.499999999999996,0.06732437844377356,2.786817161827003,0.017796294763933525,19.547367417005567,0.20432206281489007
61.790230658802564,0.0,0.0,2.8313078987368367,2.5000000000000004,0.06073111684295295,2.8313078987368367,0.01752093993420054,19.5651637117695,0.1842602769186004
61.8403779147578,0.0,0.0,2.875110248572338,2.500000000000005,0.053855544223864654,2.875110248572338,0.017257984211235887,19.5826846517037,0.16335658362168579
61.89048462073665,0.0,0.0,2.918255209100428,2.499999999999996,0.04602873827332802,2.918255209100428,0.017006524075765157,19.599942635914935,0.13957961220033469
61.940547624035226,0.0,0.0,2.9607715192898407,2.5000000000000018,0.037094302841905596,2.9607715192898407,0.016765745581741053,19.6169491599907,0.11245856355957035
61.99056331963645,0.0,0.0,3.0026858832441934,2.4999999999999853,0.027394824758880974,3.0026858832441934,0.016534913252478408,19.63371490557244,0.08303539355585511
62.04055460076062,0.0,0.0,3.044023166375389,2.4999999999999845,0.017566158168352986,3.044023166375389,0.01631336061419876,19.650249818824918,0.053236258143499124
62.09052199289731,0.0,0.0,3.084806567910886,2.4999999999999996,0.00822667570093376,3.084806567910886,0.01610048208905326,19.666563179439116,0.024929882711535994
62.14040694543271,0.0,0.0,3.125057773133519,2.5000000000000058,-0.00027693188497556793,3.125057773133519,0.01589572602274508,19.68266366152817,-0.0008391875516817799
62.190240539240726,0.0,0.0,3.1647970881903817,2.499999999999998,-0.007872833429886568,3.1647970881903817,0.01569858866373172,19.698559387550915,-0.023857563910941633
62.240052131019205,0.0,0.0,3.204043559849711,2.4999999999999907,-0.014558471898592438,3.204043559849711,0.015508608944229665,19.714257976214647,-0.044119698598459926
62.28980540486281,0.0,0.0,3.242815082210285,2.4999999999999925,-0.020238656849322623,3.242815082210285,0.015325363939804194,19.729766585158877,-0.061337638106712805
62.339469374992674,0.0,0.0,3.2811284920597954,2.4999999999999933,-0.024687242402487774,3.2811284920597954,0.015148464905672517,19.745091949098683,-0.07482502703184267
62.38907801949951,0.0,0.0,3.3189996543239766,2.4999999999999964,-0.02754238784549182,3.3189996543239766,0.014977553805097465,19.760240414004354,-0.08348289198872952
62.43865565865634,0.0,0.0,3.35644353883672,2.5000000000000098,-0.028370059795889743,3.35644353883672,0.014812300259260645,19.77521796780945,-0.08599295017772779
62.48841383949089,0.0,0.0,3.393474289484872,2.5000000000000013,-0.026853425947974303,3.393474289484872,0.01465239885944313,19.790030268068712,-0.08139358344505782
62.538381635493856,0.0,0.0,3.43010528663348,2.499999999999983,-0.022964795855697967,3.43010528663348,0.014497566791724835,19.804682666928155,-0.06960252660507772
62.58837006771689,0.0,0.0,3.4663492036127916,2.5000000000000093,-0.017024585876823636,3.4663492036127916,0.014347541732145376,19.81918023371988,-0.05159463893878525
62.63833189147708,0.0,0.0,3.502218057943155,2.499999999999997,-0.009724327355407278,3.502218057943155,0.014202079976667666,19.833527775452026,-0.029468587533458997
62.68829573189499,0.0,0.0,3.5377232578848243,2.500000000000011,-0.002081787761639887,3.5377232578848243,0.014060954775602612,19.847729855428693,-0.006308456875829259
62.73830315632986,0.0,0.0,3.572875644823831,2.5,0.004774783746096818,3.572875644823831,0.013923954846589304,19.861790810204294,0.014469151613612183
62.788310496779054,0.0,0.0,3.6076855319403043,2.499999999999993,0.00987682880123247,3.6076855319403043,0.013790883043940067,19.875714765050883,0.02993075751838531
62.838294274333826,0.0,0.0,3.6421627395501543,2.500000000000001,0.012582659616883653,3.6421627395501543,0.013661555165282375,19.889505648094822,0.03813128394474986
62.88827964706939,0.0,0.0,3.6763166274633603,2.5000000000000093,0.012694447038152317,3.6763166274633603,0.013535798879063192,19.903167203260104,0.038470087821811494
62.93828946757741,0.0,0.0,3.7101561246610184,2.5000000000000204,0.010556960001956701,3.7101561246610184,0.013413452758710311,19.916703002139165,0.03199197638912011
62.98829908979529,0.0,0.0,3.7436897565577945,2.5000000000000036,0.007005585722351714,3.7436897565577945,0.013294365411137557,19.930116454897874,0.021229394945011623
63.038308274512644,0.0,0.0,3.7769256700856384,2.499999999999998,0.0031130852414853237,3.7769256700856384,0.013178394688892337,19.943410820309012,0.009433622115570764
63.08829034335496,0.0,0.0,3.809871656807869,2.4999999999999933,-0.00013170211482477938,3.809871656807869,0.01306540697662072,19.956589214997905,-0.00039909731995835376
63.1382743846331,0.0,0.0,3.842535174249421,2.5000000000000044,-0.00208742900695906,3.842535174249421,0.01295527654370454,19.969654621974527,-0.0063255516329014105
63.18826015628772,0.0,0.0,3.8749233656086823,2.4999999999999956,-0.002624711372022239,3.8749233656086823,0.012847884955938072,19.98260989851823,-0.007953689088930651
63.23824753173662,0.0,0.0,3.9070430779985275,2.499999999999988,-0.002143669121335311,3.9070430779985275,0.012743120539984493,19.99545778347417,-0.006495976984710951
63.28823638045222,0.0,0.0,3.9389008793484885,2.499999999999991,-0.0013867566401868866,3.9389008793484885,0.01264087789510584,20.008200904014153,-0.004202295542854602
63.33822659332119,0.0,0.0,3.970503074086253,2.3514811305765013,-0.0010829120268692908,3.970503074086253,0.0125439772959247,20.020841781909258,-0.0032815528793310425
63.388218135129954,0.0,0.0,4.0,0.0,-0.0015883982517461567,4.0,0.012497726199804497,20.03338575920518,-0.004813332083621827
63.43821087569298,0.0,0.0,4.0,0.0,-0.0027050766097795227,4.0,0.012497726199804497,20.045883485404985,-0.008197221842051359
63.48820478067139,0.0,0.0,4.0,0.0,-0.0037396803814416435,4.0,0.012497726199804497,20.05838121160479,-0.01133241762104097
63.53819982643919,0.0,0.0,4.0,0.0,-0.0037479210569985348,4.0,0.012497726199804497,20.070878937804594,-0.011357389715161233
63.58819577170218,0.0,0.0,4.0,0.0,-0.0018792871808473355,4.0,0.012497726199804497,20.083376664004398,-0.0056948163430990744
63.63816828946491,0.0,0.0,4.0,0.0,0.002273027837990625,4.0,0.012497726199804497,20.0958743902042,0.006887975008028329
63.68814550105614,0.0,0.0,4.0,0.0,0.008490388450630472,4.0,0.012497726199804497,20.108372116404006,0.025729068094536917
63.73812659017041,0.0,0.0,4.0,0.0,0.016058760937758605,4.0,0.012497726199804497,20.12086984260381,0.04866709548974675
63.78813360197703,0.0,0.0,4.0,0.0,0.024107692900296428,4.0,0.012497726199804497,20.133367568803614,0.07306777059437251
63.83814196766243,0.0,0.0,4.0,0.0,0.03187541728875982,4.0,0.012497726199804497,20.145865295003418,0.0966249008123277
63.88812626683948,0.0,0.0,4.0,0.0,0.0388028034718123,4.0,0.012497726199804497,20.158363021203222,0.1176433023814538
63.93814228057802,0.0,0.0,4.0,0.0,0.04456434680280437,4.0,0.012497726199804497,20.170860747403026,0.13513294415972796
63.98816796061827,0.0,0.0,4.0,0.0,0.049078485372130234,4.0,0.012497726199804497,20.18335847360283,0.1488422074359436
64.03817028253036,0.0,0.0,4.0,0.0,0.05247735107804155,4.0,0.012497726199804497,20.195856199802634,0.1591684126572163
64.08817618301327,0.0,0.0,4.0,0.0,0.0551117392182668,4.0,0.012497726199804497,20.208353926002438,0.16717455794656766
64.13821888167246,0.0,0.0,4.0,0.0,0.05756966327193233,4.0,0.012497726199804497,20.220851652202242,0.17464650938080217
64.1882661406268,0.0,0.0,4.0,-0.6095142282279817,0.060522274309649675,4.0,0.012509649160733143,20.233349378402046,0.1836250889192058
64.23827898763187,0.0,0.0,3.992375190846393,-4.0000000000000036,0.06438192291468461,3.992375190846393,0.01260114089940677,20.24585902756278,0.19536674452933234
