s_m,x_m,y_m,psi_unwrapped_rad,psi_rad,curvature_1pm,v_ref_mps,a_ref_mps2,yaw_rate_ref_radps,delta_ref_rad,dt_s,t_s,ey_ref_m,epsi_ref_rad,w_tr_right_m,w_tr_left_m,x_rollout_m,y_rollout_m,psi_rollout_unwrapped_rad,v_rollout_mps,psi_rollout_rad,psi_err_rad,xy_err_m,v_err_mps
17.650000000000002,-1.1445459296892082,-4.327127189630157,2.7672551038937514,2.767255103893751,0.38053157883812117,2.9777764518184315,-4.0000000000000036,1.1331379746374461,0.12492152274958178,0.016984810097896194,5.890874631851238,0.0,0.0,0.7327167292732781,0.7327167292732781,-1.0830889654723963,-4.249026124514559,2.733809727334728,2.9777764518184315,2.7338097273347284,-0.03344537655902258,0.09938176302993074,0.0
17.7,-1.1912565583055952,-4.309291895962531,2.7828888012103823,2.7828888012103823,0.4133621025370773,2.9098372114268467,0.9746823518120605,1.2028164277560272,0.1355727340279949,0.0171339243278007,5.907859441949134,0.0,0.0,0.7501753296965176,0.7501753296965176,-1.1291749427316502,-4.229635217566775,2.752836306276634,2.9098372114268467,2.7528363062766346,-0.03005249493374773,0.10099165017621958,0.0
17.75,-1.2380232718531379,-4.291602152641464,2.778919737389022,2.778919737389022,0.40865790425270326,2.9265373450864374,-3.1796687866057307,1.1959526181602937,0.1340483912853622,0.01724662425452587,5.924993366276935,0.0,0.0,0.7290672830087215,0.7290672830087215,-1.1756365498902168,-4.211162803885025,2.773504411403488,2.9265373450864374,2.773504411403488,-0.005415325985533848,0.10179681677556936,0.0
17.8,-1.2850163745676901,-4.274525850193488,2.8125080792315775,2.812508079231577,0.4244145588895407,2.871698792270004,1.322518651479111,1.2187907761849006,0.13915165351662703,0.017342044610939432,5.94223999053146,0.0,0.0,0.7413157491076957,0.7413157491076957,-1.2224679559217837,-4.193649025794485,2.7939373066161233,2.871698792270004,2.7939373066161233,-0.018570772615453812,0.10224170088555176,0.0
17.85,-1.332666522078095,-4.259382441298581,2.852510649663372,2.8525106496633725,0.41771563921867133,2.8946339697227543,-3.574276729876717,1.2091338789668205,0.1369828843831235,0.017461589873613615,5.959582035142399,0.0,0.0,0.7606085831838636,0.7606085831838636,-1.269653870931302,-4.177114346829626,2.8151580345606004,2.8946339697227543,2.8151580345606,-0.037352615102772546,0.10362737848706002,0.0
17.900000000000002,-1.380636697406949,-4.245275225399616,2.8538264218601594,2.853826421860159,0.4281586544021076,2.8322214153708463,-3.999999999999997,1.2126401101740143,0.14036322862486794,0.017879735535800148,5.977043625016013,0.0,0.0,0.7412138906128738,0.7412138906128738,-1.3171774399449523,-4.161576666798392,2.836043816521534,2.8322214153708463,2.836043816521534,-0.01778260533862497,0.10503583231236148,0.0
17.95,-1.4286770607540356,-4.2314184332939755,2.8725521052964376,2.872552105296437,0.45922850306688356,2.7607024732276457,1.4976265756376144,1.267793264193375,0.150401003410632,0.018023223627901343,5.994923360551813,0.0,0.0,0.7499445482396287,0.7499445482396287,-1.3650188878817657,-4.147047373407441,2.8574517492416396,2.7607024732276457,2.8574517492416396,-0.015100356054797537,0.10569218854680337,0.0
18.0,-1.477025620658786,-4.218673285709407,2.8936223579000937,2.893622357900094,0.45037852881057544,2.7876945319114506,0.7617883491467644,1.2555177620555649,0.14754485019454072,0.01789222710552511,6.012946584179715,0.0,0.0,0.7817953383380398,0.7817953383380398,-1.4131707265655227,-4.13358295391683,2.8804131743949837,2.7876945319114506,2.8804131743949837,-0.013209183505110467,0.10638520604027986,0.0
18.05,-1.5255913509015997,-4.206776067847098,2.909225079898627,2.9092250798986274,0.4460064787384063,2.8013246220607275,-3.301954290924607,1.2494089304885019,0.14613295964023837,0.018040510789997303,6.03083881128524,0.0,0.0,0.7661145739199683,0.7661145739199683,-1.4616163132760147,-4.121216892150039,2.9029321008355127,2.8013246220607275,2.9029321008355122,-0.006292979063115212,0.10683247626613974,0.0
18.1,-1.5744396873616264,-4.1961217998924045,2.949574445915115,2.9495744459151148,0.4655973937529314,2.7417556800472243,-2.523627897116481,1.2765542989372838,0.15245491015268978,0.018392169873029687,6.048879322075237,0.0,0.0,0.7583059076627089,0.7583059076627089,-1.5103268514211843,-4.109939487364514,2.925232424772433,2.7417556800472243,2.9252324247724335,-0.024342021142681247,0.10741436926678417,0.0
18.150000000000002,-1.6236742639530561,-4.187391371740538,2.977121180621929,2.9771211806219284,0.4817710618227513,2.6953406870671412,2.4999999999999916,1.2985371447824008,0.15766490513926326,0.01839362768266059,6.067271491948267,0.0,0.0,0.7472287172500277,0.7472287172500277,-1.5592816401297358,-4.099775051812714,2.9485122944600795,2.6953406870671412,2.9485122944600795,-0.02860888616184898,0.10873375520300198,0.0
18.2,-1.6730774757787132,-4.179696204107881,2.998304978883696,2.998304978883696,0.45313985927915346,2.7413247562737926,1.3320615803740146,1.242203514296366,0.14843627722214678,0.018159238862171294,6.085665119630927,0.0,0.0,0.7575541568253641,0.7575541568253641,-1.6084633347025954,-4.090772828417797,2.972600847551217,2.7413247562737926,2.9726008475512167,-0.025704131332479285,0.10991976151322494,0.0
18.25,-1.7226407347013393,-4.17309912967599,3.0195636466806004,3.0195636466806004,0.45763193964758736,2.7655139806909257,2.4999999999999973,1.2655875271061088,0.14988592568321593,0.01793444009660556,6.103824358493099,0.0,0.0,0.8038940824525975,0.8038940824525975,-1.6578421217573132,-4.082922449857812,2.995257840515175,2.7655139806909257,2.9952578405151744,-0.02430580616542599,0.11104365728171862,0.0
18.3,-1.77232857519779,-4.167519856740634,3.040251289191487,3.0402512891914864,0.420543067125467,2.8103500809324395,0.5616306967035304,1.1818732427316325,0.1378984209508547,0.01775986117180272,6.121758798589704,0.0,0.0,0.798984907133282,0.798984907133282,-1.7073868203505618,-4.076198332066417,3.0181394374975543,2.8103500809324395,3.0181394374975543,-0.02211185169393204,0.11205825445482016,0.0
18.35,-1.8221268800321981,-4.163040336506052,3.064018109590228,3.0640181095902275,0.44001741403996486,2.820324564135717,2.500000000000018,1.2409919214643892,0.1441979257062302,0.017591302513807833,6.1395186597615075,0.0,0.0,0.8002666842425709,0.8002666842425709,-1.7570673598553765,-4.070563451129525,3.0391665908538275,2.820324564135717,3.039166590853828,-0.02485151873639957,0.1130695162038894,0.0
